policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-16076,,N,N,IF,S,I,,2024-08-05,2024-08-07,2025-08-06,,AG1106,SM1030,MEMBER-000014,MEMBER-000157,,,,2413795.7,75696.14,Q,75696.14,,,No,2,1904313.29,No,9061365119,Urban,,,,IND,POL-16076,UIN-450,Plan B,IND_HEALTH
POL-18731,,N,N,IF,U,I,,2024-08-04,2024-08-08,2025-08-07,,AG1011,SM1030,MEMBER-002238,MEMBER-000558,MEMBER-003535,,,643917.24,33219.7,H,16609.85,,,No,3,322248.57,No,9811524175,Urban,,,,IND,POL-18731,UIN-154,Plan A,TERM_LIFE
POL-10457,POL-11371,N,Y,IF,U,I,,2024-08-06,2024-08-09,2025-08-08,,AG1050,SM1046,MEMBER-000152,MEMBER-003064,,,,2301359.13,133487.92,Y,133487.92,2024-08-09,,No,2,1585585.48,No,9494159883,Rural,2363572.65,,2024-08-08,IND,POL-11371,UIN-237,Plan A,PERSONAL_ACCIDENT
POL-14876,,N,N,IF,S,I,,2024-08-06,2024-08-11,2025-08-10,,AG1073,SM1042,MEMBER-006680,MEMBER-005915,MEMBER-005997,MEMBER-003238,MEMBER-002372,914559.52,28314.44,H,14157.22,,,No,5,568017.56,No,9966088814,Urban,,,,ORG,POL-14876,UIN-439,Plan C,IND_HEALTH
POL-14692,,N,N,IF,S,I,,2024-08-07,2024-08-09,2025-08-08,,AG1048,SM1042,MEMBER-004000,MEMBER-006716,MEMBER-006360,,,1987275.1,107999.33,Y,107999.33,,,No,3,1070639.57,No,9126479184,Urban,,,,IOC,POL-14692,UIN-729,Plan A,IND_HEALTH
POL-19072,,N,N,IF,U,I,,2024-08-08,2024-08-13,2025-08-12,,AG1023,SM1008,MEMBER-002825,MEMBER-002923,,,,2058781.51,106836.4,H,53418.2,,,No,2,1142436.44,No,9206532265,Rural,,,,IND,POL-19072,UIN-841,Plan C,TERM_LIFE
POL-15021,,N,N,IF,S,I,,2024-08-10,2024-08-11,2025-08-10,,AG1083,SM1032,MEMBER-005827,,,,,1224130.32,72868.93,Y,72868.93,,,No,1,696744.31,No,9231712720,Urban,,,,IND,POL-15021,UIN-881,Plan B,TERM_LIFE
POL-10926,,N,N,IF,S,I,,2024-08-12,2024-08-17,2025-08-16,,AG1021,SM1023,MEMBER-005508,,,,,951418.93,28592.24,H,14296.12,,,No,1,509323.09,No,9539294882,Urban,,,,IOC,POL-10926,UIN-933,Plan C,FAMILY_HEALTH_OPTIMA
POL-13502,,N,N,IF,U,I,,2024-08-05,2024-08-05,2025-08-04,,AG1050,SM1007,MEMBER-000857,MEMBER-006645,MEMBER-001535,,,2021580.43,133922.45,H,66961.23,,,No,3,1182375.02,No,9153466265,Rural,,,,IOC,POL-13502,UIN-957,Plan C,GROUP_HEALTH
POL-13304,,N,N,IF,S,I,,2024-08-01,2024-08-06,2025-08-05,,AG1093,SM1020,MEMBER-002494,MEMBER-000064,,,,1693494.79,148863.53,Y,148863.53,,,No,2,1139095.15,No,9768742564,Rural,,,,DIR,POL-13304,UIN-889,Plan A,PERSONAL_ACCIDENT
POL-13293,,N,N,IF,S,I,,2024-08-08,2024-08-12,2025-08-11,,AG1073,SM1036,MEMBER-005324,,,,,380385.57,24920.55,Y,24920.55,,,No,1,241951.45,No,9579823952,Urban,,,,DIR,POL-13293,UIN-148,Plan C,FAMILY_HEALTH_OPTIMA
POL-17645,,N,N,IF,S,G,N,2024-08-12,2024-08-17,2025-08-16,,AG1078,SM1006,MEMBER-005137,,,,,9121688.1,495566.25,Q,123891.56,,2025-03-05,Yes,1,6895331.96,No,9939766503,Urban,,,,SPP,POL-17645,UIN-966,Plan C,FAMILY_HEALTH_OPTIMA
POL-14674,,N,N,IF,S,I,,2024-08-01,2024-08-05,2025-08-04,,AG1131,SM1049,MEMBER-000635,MEMBER-000266,MEMBER-001713,MEMBER-002207,,495244.86,14872.98,H,14872.98,,,No,4,349499.21,No,9882442054,Urban,,,,ORG,POL-14674,UIN-857,Plan C,GROUP_HEALTH
POL-17943,POL-13627,Y,N,IF,U,I,,2024-08-11,2024-08-14,2025-08-13,,AG1041,SM1008,MEMBER-006820,MEMBER-001066,,,,270121.43,9006.32,Y,9006.32,,,No,2,137334.48,No,9154794243,Rural,191531.51,2024-08-14,2024-08-13,IND,POL-13627,UIN-643,Plan B,IND_HEALTH
POL-16657,,N,N,IF,U,I,,2024-08-02,2024-08-04,2025-08-03,,AG1114,SM1003,MEMBER-002751,MEMBER-006996,MEMBER-006105,MEMBER-005372,MEMBER-002781,711492.65,38067.23,Y,38067.23,,,No,5,465791.51,No,9026298777,Rural,,,,IND,POL-16657,UIN-997,Plan A,CRITICAL_ILLNESS
POL-17862,POL-14967,N,Y,IF,S,I,,2024-08-06,2024-08-10,2025-08-09,,AG1117,SM1036,MEMBER-000260,,,,,880200.38,42994.31,Q,42994.31,2024-08-10,,No,1,693290.21,No,9812262351,Urban,922129.68,,2024-08-09,IOC,POL-14967,UIN-223,Plan A,GROUP_HEALTH
POL-18303,POL-13723,Y,N,IF,U,I,,2024-08-08,2024-08-11,2025-08-10,,AG1057,SM1028,MEMBER-004577,MEMBER-003668,MEMBER-003752,MEMBER-001440,,843045.14,64332.65,H,32166.33,,,No,4,648525.78,No,9523914781,Urban,847163.74,2024-08-11,2024-08-10,SPP,POL-13723,UIN-475,Plan B,IND_HEALTH
POL-15733,,N,N,CP,S,I,,2024-08-04,2024-08-04,2025-08-03,2025-03-07,AG1058,SM1048,MEMBER-006128,MEMBER-005756,,,,539088.1,38760.09,M,35530.08,,,No,2,409774.84,No,9572995634,Urban,,,,ORG,POL-15733,UIN-213,Plan C,PERSONAL_ACCIDENT
POL-13158,,N,N,XP,S,G,E,2024-08-06,2024-08-08,2025-08-07,,AG1135,SM1040,MEMBER-000621,,,,,3939998.72,312189.69,Y,312189.69,,,No,1,2173617.57,No,9753748741,Urban,,,,IND,POL-13158,UIN-589,Plan A,TERM_LIFE
POL-18363,,N,N,IF,S,I,,2024-08-09,2024-08-12,2025-08-11,,AG1062,SM1036,MEMBER-003479,MEMBER-004997,,,,607477.22,36684.14,Q,9171.03,,,No,2,355088.03,No,9835356139,Urban,,,,IOC,POL-18363,UIN-670,Plan B,TERM_LIFE
POL-13803,,N,N,IF,U,I,,2024-08-05,2024-08-08,2025-08-07,,AG1094,SM1037,MEMBER-004603,,,,,464085.84,24334.49,Q,24334.49,,,No,1,355328.23,No,9106090487,Rural,,,,DIR,POL-13803,UIN-573,Plan A,TERM_LIFE
POL-11394,,N,N,IF,S,I,,2024-08-10,2024-08-13,2025-08-12,,AG1017,SM1011,MEMBER-005997,MEMBER-000312,MEMBER-000535,MEMBER-006094,,337074.73,21391.82,Y,21391.82,,2024-10-23,Yes,4,172553.21,No,9057942516,Rural,,,,ORG,POL-11394,UIN-641,Plan A,FAMILY_HEALTH_OPTIMA
POL-11448,,N,N,IF,S,G,E,2024-08-08,2024-08-12,2025-08-11,,AG1144,SM1045,MEMBER-002088,MEMBER-005350,MEMBER-001927,MEMBER-006474,,5864102.45,275795.75,M,275795.75,,2025-07-20,Yes,4,2966783.86,No,9301094401,Rural,,,,SPP,POL-11448,UIN-997,Plan C,TERM_LIFE
POL-16811,POL-13102,Y,N,IF,S,I,,2024-08-09,2024-08-12,2025-08-11,,AG1067,SM1027,MEMBER-006106,MEMBER-003498,MEMBER-005048,,,889467.01,35985.12,Y,35985.12,,,No,3,666771.86,No,9148978859,Rural,1026008.26,2024-08-12,2024-08-11,IND,POL-13102,UIN-637,Plan C,IND_HEALTH
POL-19461,POL-17234,Y,N,IF,U,I,,2024-08-05,2024-08-05,2025-08-04,,AG1065,SM1028,MEMBER-001653,MEMBER-006644,MEMBER-003490,,,1880756.52,152633.22,H,76316.61,,,No,3,1166655.95,Yes,9002382534,Rural,2225086.44,2024-08-05,2024-08-04,IND,POL-17234,UIN-909,Plan C,PERSONAL_ACCIDENT
POL-16764,POL-13643,Y,N,CP,U,I,,2024-08-11,2024-08-11,2025-08-10,2024-09-01,AG1131,SM1016,MEMBER-002658,MEMBER-006089,MEMBER-001286,MEMBER-001502,,1355331.11,126370.28,H,126370.28,,,No,4,807026.7,No,9494184699,Rural,1095724.63,2024-08-11,2024-08-10,IND,POL-13643,UIN-394,Plan B,PERSONAL_ACCIDENT
POL-15444,,N,N,IF,S,I,,2024-08-08,2024-08-13,2025-08-12,,AG1002,SM1023,MEMBER-003680,MEMBER-005069,MEMBER-006679,MEMBER-000139,,2378295.65,86144.46,M,7178.7,,,No,4,1211751.56,No,9475835836,Rural,,,,DIR,POL-15444,UIN-329,Plan C,FAMILY_HEALTH_OPTIMA
POL-18161,,N,N,IF,S,I,,2024-08-03,2024-08-06,2025-08-05,,AG1011,SM1047,MEMBER-004628,MEMBER-006460,MEMBER-001746,,,973568.12,20396.77,Y,20396.77,,,No,3,742934.2,No,9302203233,Rural,,,,ORG,POL-18161,UIN-525,Plan B,GROUP_HEALTH
POL-18212,,N,N,IF,S,I,,2024-08-08,2024-08-13,2025-08-12,,AG1002,SM1039,MEMBER-000344,MEMBER-003694,MEMBER-006096,,,2024553.01,73134.18,H,73134.18,,,No,3,1466238.86,No,9796301463,Rural,,,,IND,POL-18212,UIN-809,Plan C,FAMILY_HEALTH_OPTIMA
POL-15771,POL-14271,Y,N,IF,S,G,E,2024-08-06,2024-08-11,2025-08-10,,AG1008,SM1039,MEMBER-000798,MEMBER-006302,,,,3196280.84,244547.97,Y,244547.97,,,No,2,2553873.75,No,9321926799,Rural,2361715.61,2024-08-11,2024-08-10,IND,POL-14271,UIN-411,Plan C,PERSONAL_ACCIDENT
POL-12310,,N,N,IF,S,I,,2024-08-09,2024-08-11,2025-08-10,,AG1034,SM1009,MEMBER-002997,MEMBER-006728,MEMBER-003645,MEMBER-005904,,1701484.38,118136.71,Y,118136.71,,,No,4,928033.36,No,9512393692,Urban,,,,IND,POL-12310,UIN-308,Plan B,GROUP_HEALTH
POL-14466,POL-14637,Y,N,IF,S,I,,2024-08-11,2024-08-12,2025-08-11,,AG1055,SM1045,MEMBER-002206,MEMBER-003250,MEMBER-000271,,,687345.55,17307.77,H,17307.77,,,No,3,498309.21,No,9007816649,Urban,793606.67,2024-08-12,2024-08-11,ORG,POL-14637,UIN-351,Plan B,TERM_LIFE
POL-14428,,N,N,IF,U,I,,2024-08-04,2024-08-05,2025-08-04,,AG1123,SM1033,MEMBER-002229,MEMBER-006827,MEMBER-001950,MEMBER-001478,MEMBER-000699,702286.22,12496.09,Y,12496.09,,2024-09-28,Yes,5,368409.86,No,9562274287,Urban,,,,ORG,POL-14428,UIN-231,Plan C,FAMILY_HEALTH_OPTIMA
POL-18173,POL-14716,N,Y,IF,S,I,,2024-08-11,2024-08-13,2025-08-12,,AG1067,SM1022,MEMBER-003798,MEMBER-004867,MEMBER-003659,,,2176911.07,158048.16,Y,158048.16,2024-08-13,,No,3,1402507.66,No,9046726680,Rural,2201912.91,,2024-08-12,IOC,POL-14716,UIN-930,Plan A,FAMILY_HEALTH_OPTIMA
POL-17923,,N,N,IF,U,I,,2024-08-12,2024-08-14,2025-08-13,,AG1081,SM1027,MEMBER-002565,,,,,2318260.75,116740.41,H,116740.41,,,No,1,1339208.25,No,9429162684,Rural,,,,IOC,POL-17923,UIN-973,Plan C,CRITICAL_ILLNESS
POL-16914,POL-17813,Y,N,IF,U,I,,2024-08-10,2024-08-15,2025-08-14,,AG1010,SM1030,MEMBER-006131,MEMBER-000095,MEMBER-001172,MEMBER-002793,MEMBER-004250,2094866.56,139452.03,Y,139452.03,,,No,5,1334917.32,No,9807282762,Rural,2286236.96,2024-08-15,2024-08-14,IND,POL-17813,UIN-864,Plan A,PERSONAL_ACCIDENT
POL-12487,,N,N,IF,S,I,,2024-08-02,2024-08-02,2025-08-01,,AG1005,SM1025,MEMBER-002051,MEMBER-000579,,,,1993568.82,161655.33,Y,161655.33,,,No,2,1556411.47,No,9659715214,Urban,,,,IND,POL-12487,UIN-287,Plan C,IND_HEALTH
POL-19826,,N,N,IF,S,I,,2024-08-06,2024-08-07,2025-08-06,,AG1010,SM1045,MEMBER-005407,,,,,341671.42,20908.23,Y,20908.23,,2025-05-18,Yes,1,273121.88,No,9185475428,Urban,,,,IND,POL-19826,UIN-748,Plan A,CRITICAL_ILLNESS
POL-14651,POL-11568,Y,N,IF,S,I,,2024-08-08,2024-08-08,2025-08-07,,AG1093,SM1002,MEMBER-001502,MEMBER-005973,MEMBER-006776,,,1155905.21,114744.74,Y,114744.74,,,No,3,730528.4,No,9466095171,Urban,1019856.56,2024-08-08,2024-08-07,IND,POL-11568,UIN-739,Plan A,TERM_LIFE
POL-10612,,N,N,IF,U,I,,2024-08-06,2024-08-09,2025-08-08,,AG1010,SM1000,MEMBER-000125,MEMBER-001321,,,,1465337.73,101831.32,H,101831.32,,,No,2,939768.1,No,9573597940,Urban,,,,DIR,POL-10612,UIN-366,Plan A,CRITICAL_ILLNESS
POL-11759,,N,N,IF,S,I,,2024-08-11,2024-08-12,2025-08-11,,AG1063,SM1010,MEMBER-004264,,,,,343077.07,21172.9,Q,10586.45,,,No,1,215268.02,No,9278647943,Rural,,,,IND,POL-11759,UIN-572,Plan B,CRITICAL_ILLNESS
POL-17981,,N,N,IF,S,I,,2024-08-02,2024-08-07,2025-08-06,,AG1139,SM1018,MEMBER-001178,MEMBER-003141,MEMBER-000779,,,928522.34,51331.09,Y,51331.09,,2024-10-25,Yes,3,691227.61,No,9819128229,Urban,,,,IND,POL-17981,UIN-505,Plan B,IND_HEALTH
POL-17346,,N,N,TM,S,I,,2024-08-03,2024-08-03,2025-08-02,2025-03-16,AG1083,SM1040,MEMBER-005913,MEMBER-005124,MEMBER-003324,,,1346174.41,132287.56,H,132287.56,,,No,3,921667.49,No,9993368657,Urban,,,,IND,POL-17346,UIN-913,Plan C,PERSONAL_ACCIDENT
POL-19281,,N,N,CP,S,I,,2024-08-10,2024-08-14,2025-08-13,2025-07-17,AG1086,SM1049,MEMBER-001960,,,,,887343.61,56795.0,H,56795.0,,,No,1,668268.59,No,9325505827,Urban,,,,IOC,POL-19281,UIN-908,Plan A,PERSONAL_ACCIDENT
POL-13539,,N,N,IF,U,I,,2024-08-01,2024-08-04,2025-08-03,,AG1017,SM1018,MEMBER-000931,,,,,2148826.95,74387.91,H,74387.91,,2025-04-05,Yes,1,1578191.4,No,9973407462,Urban,,,,DIR,POL-13539,UIN-763,Plan C,GROUP_HEALTH
POL-13676,POL-19056,Y,N,XP,S,I,,2024-08-05,2024-08-08,2025-08-07,,AG1100,SM1004,MEMBER-003658,MEMBER-004026,,,,294843.87,21106.11,Y,21106.11,,,No,2,172127.66,No,9810564502,Urban,317142.44,2024-08-08,2024-08-07,IOC,POL-19056,UIN-112,Plan C,TERM_LIFE
POL-11834,,N,N,IF,S,I,,2024-08-09,2024-08-09,2025-08-08,,AG1029,SM1008,MEMBER-005206,MEMBER-004975,,,,127836.4,9486.66,H,4743.33,,2025-07-23,Yes,2,97684.94,No,9808906383,Urban,,,,IND,POL-11834,UIN-511,Plan A,TERM_LIFE
POL-10553,POL-16500,Y,N,IF,S,I,,2024-08-07,2024-08-09,2025-08-08,,AG1109,SM1027,MEMBER-003076,MEMBER-004617,MEMBER-005688,MEMBER-004863,MEMBER-004385,714939.51,14649.21,M,8545.37,,,No,5,431707.53,No,9637705086,Urban,759053.8,2024-08-09,2024-08-08,IND,POL-16500,UIN-944,Plan B,GROUP_HEALTH
POL-17502,,N,N,IF,S,I,,2024-08-10,2024-08-10,2025-08-09,,AG1073,SM1045,MEMBER-000324,,,,,2435815.15,76142.27,Y,76142.27,,,No,1,1532679.15,No,9413706556,Urban,,,,IND,POL-17502,UIN-732,Plan A,CRITICAL_ILLNESS
POL-18628,POL-14015,Y,N,IF,S,I,,2024-08-07,2024-08-08,2025-08-07,,AG1135,SM1032,MEMBER-004693,MEMBER-003844,MEMBER-002669,MEMBER-006320,MEMBER-004642,1925806.41,176004.93,Y,176004.93,,,No,5,1321047.01,No,9808942298,Urban,1442441.6,2024-08-08,2024-08-07,IOC,POL-14015,UIN-158,Plan A,IND_HEALTH
POL-11196,POL-18274,N,Y,IF,S,I,,2024-08-08,2024-08-08,2025-08-07,,AG1084,SM1038,MEMBER-001505,MEMBER-006063,MEMBER-006468,,,238442.11,9853.53,M,1642.26,2024-08-08,,No,3,158513.67,No,9029222398,Rural,254697.82,,2024-08-07,ORG,POL-18274,UIN-664,Plan B,CRITICAL_ILLNESS
POL-14113,,N,N,IF,U,I,,2024-08-09,2024-08-14,2025-08-13,,AG1047,SM1036,MEMBER-000743,,,,,462281.59,25785.24,H,25785.24,,,No,1,234285.75,No,9633700754,Rural,,,,IND,POL-14113,UIN-617,Plan C,TERM_LIFE
POL-18574,POL-17119,Y,N,IF,U,I,,2024-08-07,2024-08-08,2025-08-07,,AG1135,SM1018,MEMBER-006174,MEMBER-003266,MEMBER-006020,MEMBER-004351,MEMBER-002155,2243889.51,217214.55,Y,217214.55,,,No,5,1635085.72,No,9967170920,Urban,1859160.34,2024-08-08,2024-08-07,IND,POL-17119,UIN-871,Plan B,CRITICAL_ILLNESS
POL-15776,,N,N,IF,U,I,,2024-08-08,2024-08-09,2025-08-08,,AG1101,SM1012,MEMBER-006893,,,,,544424.7,10608.6,Q,2652.15,,,No,1,391854.68,No,9860130400,Urban,,,,IND,POL-15776,UIN-204,Plan C,GROUP_HEALTH
POL-16345,,N,N,IF,S,I,,2024-08-08,2024-08-10,2025-08-09,,AG1105,SM1044,MEMBER-001668,,,,,518313.0,15221.39,Y,15221.39,,,No,1,297255.12,No,9778273419,Urban,,,,IOC,POL-16345,UIN-185,Plan A,FAMILY_HEALTH_OPTIMA
POL-11486,,N,N,IF,U,I,,2024-08-10,2024-08-15,2025-08-14,,AG1099,SM1043,MEMBER-006730,MEMBER-002370,,,,2461821.87,148776.72,Y,148776.72,,,No,2,1899098.11,No,9724565462,Urban,,,,ORG,POL-11486,UIN-722,Plan C,GROUP_HEALTH
POL-14161,,N,N,IF,S,I,,2024-08-12,2024-08-15,2025-08-14,,AG1109,SM1021,MEMBER-000450,MEMBER-004418,MEMBER-001642,MEMBER-001926,,246634.87,6231.4,H,6231.4,,,No,4,168923.89,No,9528729897,Urban,,,,IND,POL-14161,UIN-753,Plan B,CRITICAL_ILLNESS
POL-12114,,N,N,IF,S,I,,2024-08-09,2024-08-12,2025-08-11,,AG1007,SM1008,MEMBER-005467,MEMBER-000029,MEMBER-003668,MEMBER-000353,MEMBER-000020,210195.6,8880.05,Y,8880.05,,2025-07-05,Yes,5,161932.09,No,9735170655,Rural,,,,IND,POL-12114,UIN-761,Plan B,PERSONAL_ACCIDENT
POL-15312,,N,N,IF,S,I,,2024-08-01,2024-08-01,2025-07-31,,AG1070,SM1011,MEMBER-002661,,,,,590862.7,10296.63,Y,10296.63,,,No,1,295749.6,No,9135094038,Rural,,,,IND,POL-15312,UIN-327,Plan B,IND_HEALTH
POL-13865,,N,N,IF,S,I,,2024-08-07,2024-08-11,2025-08-10,,AG1002,SM1028,MEMBER-001729,,,,,1201281.14,113328.94,H,113328.94,,,No,1,873551.56,No,9745214719,Rural,,,,IOC,POL-13865,UIN-925,Plan C,TERM_LIFE
POL-10817,POL-16308,Y,N,IF,S,I,,2024-08-03,2024-08-05,2025-08-04,,AG1121,SM1019,MEMBER-003014,MEMBER-000505,MEMBER-000666,,,2330528.25,110672.22,Y,110672.22,,,No,3,1445096.33,No,9335786401,Rural,2612188.09,2024-08-05,2024-08-04,SPP,POL-16308,UIN-745,Plan A,CRITICAL_ILLNESS
POL-11368,POL-12834,N,Y,IF,S,I,,2024-08-07,2024-08-12,2025-08-11,,AG1111,SM1008,MEMBER-004079,MEMBER-003380,MEMBER-005616,MEMBER-001280,MEMBER-002512,754967.72,22311.13,M,14874.09,2024-08-12,,No,5,585961.54,No,9811300827,Rural,826047.43,,2024-08-11,IND,POL-12834,UIN-279,Plan A,CRITICAL_ILLNESS
POL-10702,,N,N,IF,U,I,,2024-08-09,2024-08-11,2025-08-10,,AG1065,SM1047,MEMBER-001810,MEMBER-005555,,,,1580785.7,63346.16,H,31673.08,,,No,2,1213012.59,No,9621138736,Urban,,,,IND,POL-10702,UIN-661,Plan B,CRITICAL_ILLNESS
POL-13171,,N,N,IF,U,G,E,2024-08-07,2024-08-11,2025-08-10,,AG1133,SM1004,MEMBER-006419,MEMBER-001646,MEMBER-000132,MEMBER-006900,MEMBER-004341,3795289.77,340304.66,M,170152.33,,,No,5,2421750.97,No,9022942014,Urban,,,,ORG,POL-13171,UIN-589,Plan C,TERM_LIFE
POL-14596,,N,N,IF,S,I,,2024-08-09,2024-08-11,2025-08-10,,AG1091,SM1042,MEMBER-001391,,,,,1175700.77,87257.78,Y,87257.78,,,No,1,872508.29,No,9067738331,Rural,,,,IND,POL-14596,UIN-334,Plan A,FAMILY_HEALTH_OPTIMA
POL-15409,,N,N,TM,U,I,,2024-08-06,2024-08-09,2025-08-08,2025-06-28,AG1038,SM1017,MEMBER-005053,MEMBER-005938,MEMBER-000233,MEMBER-001602,,188230.03,14151.08,Y,14151.08,,,No,4,130078.7,No,9134991351,Urban,,,,IOC,POL-15409,UIN-951,Plan A,PERSONAL_ACCIDENT
POL-16604,,N,N,IF,S,G,E,2024-08-02,2024-08-04,2025-08-03,,AG1064,SM1006,MEMBER-006902,MEMBER-006013,,,,9523187.97,943160.31,Y,943160.31,,,No,2,6885961.56,No,9350315762,Urban,,,,IND,POL-16604,UIN-342,Plan A,IND_HEALTH
POL-18802,POL-17043,Y,N,IF,S,G,N,2024-08-07,2024-08-07,2025-08-06,,AG1006,SM1034,MEMBER-002104,MEMBER-002043,MEMBER-000046,MEMBER-004707,,5041824.26,213167.88,Q,159875.91,,,No,4,3603714.96,No,9635578583,Urban,5236647.43,2024-08-07,2024-08-06,ORG,POL-17043,UIN-604,Plan B,FAMILY_HEALTH_OPTIMA
POL-11531,,N,N,IF,S,I,,2024-08-04,2024-08-07,2025-08-06,,AG1102,SM1015,MEMBER-005143,MEMBER-005640,MEMBER-004175,MEMBER-006758,,814916.3,60348.6,Y,60348.6,,,No,4,578482.51,Yes,9545809073,Rural,,,,IND,POL-11531,UIN-781,Plan C,TERM_LIFE
POL-16655,,N,N,IF,U,I,,2024-08-04,2024-08-08,2025-08-07,,AG1119,SM1045,MEMBER-001519,MEMBER-002809,MEMBER-001642,,,426170.29,11375.24,Y,11375.24,,,No,3,336544.69,No,9307510800,Rural,,,,DIR,POL-16655,UIN-560,Plan C,FAMILY_HEALTH_OPTIMA
POL-12271,,N,N,IF,U,I,,2024-08-03,2024-08-05,2025-08-04,,AG1013,SM1045,MEMBER-000589,MEMBER-006431,MEMBER-004201,,,1500618.08,73469.55,H,36734.78,,,No,3,848239.18,No,9207099408,Urban,,,,IND,POL-12271,UIN-966,Plan B,GROUP_HEALTH
POL-11789,,N,N,IF,S,I,,2024-08-11,2024-08-12,2025-08-11,,AG1108,SM1003,MEMBER-001565,MEMBER-002704,MEMBER-004931,,,1111389.72,49222.58,H,24611.29,,,No,3,863159.61,No,9532469659,Rural,,,,IND,POL-11789,UIN-141,Plan C,FAMILY_HEALTH_OPTIMA
POL-17490,,N,N,IF,S,I,,2024-08-08,2024-08-11,2025-08-10,,AG1009,SM1022,MEMBER-001641,MEMBER-003090,MEMBER-002381,,,979818.82,52199.39,Y,52199.39,,,No,3,493549.9,Yes,9941170044,Urban,,,,IND,POL-17490,UIN-635,Plan C,PERSONAL_ACCIDENT
POL-14374,,N,N,CP,U,I,,2024-08-12,2024-08-17,2025-08-16,2025-06-16,AG1011,SM1020,MEMBER-006515,MEMBER-001671,MEMBER-002103,MEMBER-000198,,2181280.31,89262.75,M,7438.56,,,No,4,1472329.01,No,9157781231,Rural,,,,IND,POL-14374,UIN-686,Plan A,CRITICAL_ILLNESS
POL-10097,POL-12794,N,Y,IF,U,G,E,2024-08-09,2024-08-11,2025-08-10,,AG1131,SM1029,MEMBER-001084,MEMBER-004195,MEMBER-004050,MEMBER-004076,,848727.74,36981.4,Y,36981.4,2024-08-11,,No,4,612758.41,No,9320276437,Urban,788719.39,,2024-08-10,IND,POL-12794,UIN-893,Plan C,FAMILY_HEALTH_OPTIMA
POL-11057,,N,N,IF,S,G,N,2024-08-06,2024-08-07,2025-08-06,,AG1030,SM1010,MEMBER-006405,MEMBER-000374,MEMBER-003551,MEMBER-005216,,9473780.25,670855.73,Q,335427.86,,,No,4,6292595.23,No,9070599715,Rural,,,,ORG,POL-11057,UIN-985,Plan C,TERM_LIFE
POL-19516,,N,N,IF,U,I,,2024-08-10,2024-08-12,2025-08-11,,AG1052,SM1046,MEMBER-003755,MEMBER-005394,MEMBER-001032,MEMBER-005901,MEMBER-003710,1586110.95,116447.03,Y,116447.03,,,No,5,1001322.5,No,9456153785,Urban,,,,IND,POL-19516,UIN-705,Plan A,FAMILY_HEALTH_OPTIMA
POL-17312,,N,N,XP,S,I,,2024-08-11,2024-08-13,2025-08-12,,AG1143,SM1033,MEMBER-004161,MEMBER-000056,,,,1170099.69,96969.07,M,80807.56,,,No,2,684068.63,No,9660440640,Urban,,,,IND,POL-17312,UIN-801,Plan B,CRITICAL_ILLNESS
POL-19856,,N,N,IF,S,I,,2024-08-11,2024-08-15,2025-08-14,,AG1015,SM1040,MEMBER-005235,MEMBER-006957,,,,801771.09,51820.79,Y,51820.79,,,No,2,417571.79,No,9942117739,Rural,,,,IND,POL-19856,UIN-575,Plan A,TERM_LIFE
POL-15171,,N,N,IF,U,I,,2024-08-09,2024-08-09,2025-08-08,,AG1098,SM1010,MEMBER-001665,MEMBER-003785,MEMBER-003262,,,1219346.36,38868.7,Y,38868.7,,,No,3,856975.13,No,9882530176,Rural,,,,ORG,POL-15171,UIN-342,Plan B,IND_HEALTH
POL-12593,,N,N,IF,U,I,,2024-08-10,2024-08-13,2025-08-12,,AG1107,SM1005,MEMBER-003401,MEMBER-002290,MEMBER-005904,MEMBER-005108,MEMBER-000825,1570771.26,104243.17,Q,104243.17,,,No,5,865416.12,No,9648820029,Urban,,,,ORG,POL-12593,UIN-384,Plan A,PERSONAL_ACCIDENT
POL-12327,,N,N,IF,S,G,E,2024-08-08,2024-08-08,2025-08-07,,AG1041,SM1025,MEMBER-003195,MEMBER-000061,MEMBER-005484,,,5314445.36,213282.26,Y,213282.26,,,No,3,3899330.49,No,9930864629,Urban,,,,IND,POL-12327,UIN-530,Plan C,FAMILY_HEALTH_OPTIMA
POL-15421,,N,N,IF,U,G,E,2024-08-01,2024-08-02,2025-08-01,,AG1106,SM1036,MEMBER-001708,MEMBER-003540,,,,8767113.07,796785.1,Y,796785.1,,,No,2,5659235.11,No,9919752628,Rural,,,,IND,POL-15421,UIN-119,Plan B,PERSONAL_ACCIDENT
POL-17003,,N,N,IF,S,I,,2024-08-11,2024-08-16,2025-08-15,,AG1099,SM1024,MEMBER-001520,MEMBER-005767,MEMBER-004592,MEMBER-005784,MEMBER-004461,1092033.35,108874.25,Q,81655.69,,,No,5,810712.28,No,9865637758,Rural,,,,IND,POL-17003,UIN-793,Plan C,TERM_LIFE
